Type,Title,Song
M,Bad Seed,"Yeah Yeah Yeah Yeah Ooooohhhh Yeah  Bad  Yeah Come clean, 'fess up Tell all, spill gut Off the veil, stand revealed Show the cards Bring it on Break the seal  (Ladies and Gentleman, step right up and see the man who told the truth)  Swing the noose again Pierce the apple skin You bit more than you need Now you're choking On a bad seed On a bad seed Ahhh choking  Let on, load off Confess, cast off At the mercy, the cat is out Drop the disguise Spit it up, Spit it out  (And now, what you've all been waiting for, I give you He Who Suffers The Truth)  Swing the noose again Pierce the apple skin Yeah, you bit more than you need Now you're chokin' On the bad seed Chokin' on the bad seed, Yeah  Off the veil Stand revealed Bring it on Break the Seal At the mercy Cat is out Spit it up Spit it out Spit it up Spit it out Spit it out NOW  At the mercy  (Swing the noose again, Pierce the apple skin, you bit more than you need, choking on the seed)  Swing the noose again Pierce the apple skin Yeah you bit more than you need Ohhh you're chokin' on a Chokin', chokin', chokin' on a bad seed Chokin' on a bad seed, Yeah  Off the veil Stand revealed Bring it on Break the Seal At the mercy Cat is out Spit it up Spit it out Spit it up Spit it out Spit it out NOW"
M,Battery,"Lashing out the action, returning the reaction Weak are ripped and torn away Hypnotizing power, crushing all that cower Battery is here to stay  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery Battery  Crushing all deceivers, mashing non-believers Never-ending potency Hungry violence-seeker, feeding off the weaker Breeding on insanity  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery Battery  Circle of destruction, hammer comes crushing Powerhouse of energy Whipping up a fury, dominating flurry We create the battery  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery Battery Battery Battery"
M,Better Than You,"I look at you, then you me Hungry and thirsty are we Holding the lion's share Holding the key Holding me back 'cause I'm striving to be  Better than you Better than you Better than you Better than you  Lock horns, I push and I strive Some how I feel more alive Bury the need for it Bury the seed Bury me deep when there's no will to be  Better than you Better than you Better than you Better than you  Oh, can't stop this train from rollin' Oh, nothing brings me down No, can't stop this train from rollin', no, no, no, no, no, No, no, forever only no...  Oh, can't stop this train from rollin' Oh, you can't take it down No, never stop this locomotion, no, no, no, no, no, no, No, you can't bring it down 'cause I'm  Better Than You Better Than You Better Than You Better Than You Oooh Better Than You Better Than You Better Than You Better Than You Much Better Than You  Better Than You Better Than You Oh Better Than You Better Than You Better Than You Better Than You Better Than Better Than Better Than Better Than You  Can't stop this train from rollin'  Forever on and on and on Forever on and on, on  Better Than You Yeah Better Than You"
M,Blackened,Blackened is the end Winter it will send Throwing all you see Into obscurity  Death of Mother Earth Never a rebirth Evolution¡¯s end Never will it mend  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened  Blistering of earth Terminate its worth Deadly nicotine Kills what might have been  Callous frigid chill Nothing left to kill Never seen before Breathing nevermore  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened  Blackened  Opposition...contradiction...premonition...compromise Agitation...violation...mutilation...planet dies  Darkest color Blistered earth True death of life  Termination...expiration...cancellation...human race Expectation...liberation...population...lay to waste  See our mother Put to death See our mother die  Smoldering decay Take her breath away Millions of our years In minutes disappears  Darkening in vain Decadence remains All is said and done Never is the sun  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Fire Is the outcome of hypocrisy Darkest potency In the exit of humanity Color our world blackened  Blackened
M,Bleeding Me,"I'm diggin' my way I'm diggin' my way to something I'm diggin' my way to somethin' better  I'm pushin' to stay I'm pushin' to stay with something I'm pushin' to stay with something better  I'm sowing the seeds I'm sowing the seeds I've taken I'm sowing the seeds I take for granted  This thorn in my side This thorn in my side is from the tree This thorn in my side is from the tree I've planted  It tears me and I bleed And I bleed  Caught under wheel's roll I take the leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it Caught under wheel's roll The bleeding of me Of me The bleeding of me  Caught under wheel's roll I take the leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it Caught under wheel's roll The bleeding of me The bleeding of me  I am the beast that feeds the feast I am the blood, I am release Come make me pure Bleed me a cure I'm caught, I'm caught, I'm caught under  Caught under wheel's roll I take that leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it, I can't take it, I can't take it The bleeding of me  Come on Bleed me  I'm digging my way I'm digging my way to something I'm digging my way to something better  I'm pushing to stay I'm pushing to stay with something I'm pushing to stay with something better  With something better"
M,Blitzkrieg,"Let us have peace, let us have life, Let us escape the cruel night. Let us have time, let the sun shine, Let us beware the deadly sign.  The day is coming, Armageddon's near, Inferno's coming, can we survive the blitzkrieg. The blitzkrieg, the blitzkrieg.  Save us from fate, save us from hate, Save ourselves before it's too late. Come to our need, hear our plea, Save ourselves before the earth bleeds.  The day is dawning, the time is near, Aliens calling, can we survive the blitzkrieg."
M,Brandenburg Gate,"I would cut my legs and tits off When I think of Boris Karloff and Kinski In the dark of the moon  It made me dream of Nosferatu Trapped on the isle of Doctor Moreau Oh wouldn't it be lovely  I was thinking Peter Lorre When things got pretty gory as I Crossed to the Brandenburg Gate  I was feeling snappy perhaps I'd been napping And I'd just ate A following heart can tear you apart On a midnight to 8 shift  A graveyard romance can only give one chance As the tombstones weave and breathe  Feeling happy when my heart got beating On a Sunday afternoon  I dreamt of breezes going through the treeses And stars were still illumed I have three hearts that I keep apart Trying to relate To normal feelings and the nightime reelings And some absynthe drunk so late  The cook got drunk and all the whores they shrunk Onto the size of dessert plates But me I'm happy cause I got my little nappy And some opium to set me straight I'm just a small town girl who wants to give it a whirl While my looks still hold me straight  Straight up to illusion and fantasy's fusion Of reality mixed with drink I'm just a small town girl who's gonna give life a whirl Looking at the Brandenburg Gate."
M,Breadfan,"Breadfan, open up your mind, open up your purse, Open up your bones, never, never gonna lose it. Breadfan, take it all away, never give an inch, Gotta make a mint, gotta make me a million. Breadfan, you got it wrong, some long time friend's Gonna lose it in the end, who's a fool. Seagull, give it all away, stay a bird, stay a man, Stay a ghost, stay what you wanna be.  Loser, give it all away, never stay with the winner, With the man with all the filthy money. Come on, keep it on the side, with a ride on a record, On the top if you're gonna be a bad boy. Breadfan, you got it wrong, some long time friend's Gonna lose it in the end, who's a fool. Seagull, give it all away, stay a bird, stay a man, Stay a ghost, stay what you wanna be.  Breadfan, open up your mind, open up your purse, Open up your bones, never, never gonna lose it. Breadfan, take it all away, never give an inch, Gotta make a mint, gotta make me a million. Breadfan, you got it wrong, some long time friend's Gonna lose it in the end, who's a fool. Seagull, give it all away, stay a bird, stay a man, Stay a ghost, stay what you wanna be."
M,"Broken, Beat & Scarred","You rise, you fall, you're down then you rise again What don't kill you make you more strong You rise, you fall, you're down then you rise again What don't kill you make you more strong  Rise, fall, down, rise again What don't kill you make you more strong Rise, fall, down, rise again What don't kill you make you more strong  Through black days Through black nights Through pitch black insides  Breaking your teeth on the hard life coming Show your scars Cutting your feet on the hard earth running Show your scars Breaking your life, broken, beat and scarred But we die hard  The dawn, the death, the fight to the final breath What don't kill you make you more strong The dawn, the death, the fight to the final breath What don't kill you make you more strong  Dawn, death, fight, final breath What don't kill you make you more strong Dawn, death, fight, final breath What don't kill you make you more strong  They scratch me They scrape me They cut and rape me  Breaking your teeth on the hard life coming Show your scars Cutting your feet on the hard earth running Show your scars Breaking your life, broken, beat and scarred But we die hard  Breaking your teeth on the hard life coming Show your scars Cutting your feet on the hard earth running Show your scars Bleeding your soul in a hard luck story Show your scars Spilling your blood in the hot sun's glory Show your scars Breaking your life, broken, beat and scarred We die hard We die hard We die hard"
M,Carpe Diem Baby,"Hit dirt Shake tree Split sky Part sea  Strip smile Lose cool Bleed the day And break the rule  Live win Dare fail Eat the dirt And bite the nail  Then make me miss you... Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come carpe diem, baby  Draw Lead Piss wine Sink teeth All mine  Stoke fire Break neck Suffer through this Cheat on death  Hug the curve Lose the time Tear the map And shoot the sign  Then make me miss you... Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come carpe diem, baby  Yeah, Suck it!  Live win Dare fail Eat dirt Bite the nail  Strip smile Lose cool Bleed the day And break the rule  Hug the curve Lose the time Tear the map And shoot the sign  Then make me miss you... (Come on, Come on) Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day  Come make me miss you... Come carpe diem baby Come carpe diem baby"
M,Cheat on Me,"Why do you cheat on me Why do I cheat on thee Why do I cheat on me Why do I cheat on me  I have a passionate heart It can tear us apart I have the loves of many men But I don¡¯t love any of them  Why do I cheat on me  You have your feelings I have mine I spit upon you and change my mind I have many hearts to break And many, many, many more to take  Let the light of stars pour out Like a candle in a spout Let the wick recede and break Let the starlight radiate Why do you cheat on me Why do I cheat on me Why do I cheat on thee Why do I desecrate me Why do I piss my dreams That¡¯s because that¡¯s what it is  I have the drive I got the scope If I, if I, if I, could I give you a rope  Your love means zero to me I¡¯m a passionateless wave upon the sea Passionateless wave upon the sea Why, why, why Do you cheat on me Why, why, why Do I cheat on thee Oh why, do I cheat on me Why do I cheat on myself Well I got nobody else  I¡¯m only young once I want to taste it all and have fun I have no real feelings in my soul Where most have passion I got a hole I really got nobody else  I want lovers like the rain So many of them, so much the same You say you love me, I know it¡¯s true But I, I, I don¡¯t love you  Why do I cheat on me Why do you cheat on me Your love means zero to me A passionateless wave Your love means zero to me"
M,Confusion,"Wake to face the day Grab this life and walk away War is never done Rub the patch and battle on Make it go away Please make it go away  Confusion All sanity is now beyond me Delusion All sanity is but a memory My life¡­ The war that never ends  Leave the battlefield Yet its horrors never heal Coming home from war Pieces don't fit anymore Make it go away Please make it go away  Confusion All sanity is now beyond me Delusion All sanity is but a memory My life¡­ The war that never ends  Father please come home Shell shocked all I've known Father please come home  Label him a deadwood soldier now Cast away and left to roam Rapid is the road to sacrifice Just takes longer to come home  Confusion All sanity is now beyond me Delusion Crossfire ricochets inside me Trapped in a memory forever My life¡­ The war that never ends"
M,Crash Course in Brain Surgery,"Look inside and you will see, The words are cutting deep inside my brain. Thunder burning, quickly burning, Knife of words is driving me insane, insane yeah.  Raven black is on my track, He shows me how to neutralize the knife. Show to me in surgery, The art of fighting words to conquer life, conquer life yeah.  Now the wicked lance of fear, Is driving from my heady mountain brain. Crash course in brain surgery, Has stopped the bloody knife of words again yeah, yeah, yeah."
M,Creeping Death,"Slaves Hebrews born to serve, to the pharaoh Heed To his every word, live in fear Faith Of the unknown one, the deliverer Wait Something must be done, four hundred years  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Now Let my people go, Land Of Goshen Go I will be with thee, bush of fire Blood Running red and strong, down the Nile Plague Darkness three days long, hail to fire  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Die by my hand I creep across the land Killing first born man  Die by my hand I creep across the land Killing first born man  I Rule the midnight air, the destroyer Born I shall soon be there, deadly mass I Creep the steps and floor, final darkness Blood Lamb's blood, painted door, I shall pass  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death"
M,Cure,"The man takes another bullet He keeps them all within He must seek no matter how it hurts So don¡¯t fool again  He thinks the answer¡¯s cold and in his hand He takes his medicine The man takes another bullet He¡¯s been fooled again  Uncross your arms Take and throw them to the cure, say, I do believe  Uncross your arms now Take them to it, say I do believe I do believe  The lies tempt her and she follows Again she lets him in She must believe to fill the hollow She¡¯s been fooled again  Uncross your arms Take and throw them to the cure, say I do believe  Uncross your arms now Take them to it, say, I do believe Yeah, I do believe  Betting on the cure It must get better than this Betting on the cure Everyone¡¯s got to have the sickness ¡®Cause everyone seems to need the cure Precious cure  Betting on the cure ¡®Cause it must get better than this Betting on the cure Everyone¡¯s got to have the sickness ¡®Cause everyone seems to need the cure Precious cure  I do believe  Betting on the cure It must get better than this Need to feel secure It¡¯s got to get better than this It must get better than this Betting on the cure Everyone¡¯s got to have the sickness Cause everyone seems to need the cure  I do believe"
M,Cyanide,"Sleep and dream of this Death angel¡¯s kiss Brings final bliss Completely  Empty they say Death, won¡¯t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I¡¯ve already died You¡¯re just the funeral I¡¯ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Wait, wait patiently Your death black wings Unfolding sleep Spreading o¡¯er me  Empty they say Death, won¡¯t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I¡¯ve already died You¡¯re just the funeral I¡¯ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Say, is that rain or are they tears? That has stained your concrete face for years The crying, weeping, shedding strife Year after year, life after life  An air of freshly broken ground A concrete angel lit right down Upon the grave which swallows fast It¡¯s peace at last, oh peace at last!  Empty they say Death, won¡¯t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I¡¯ve already died You¡¯re just the funeral I¡¯ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Forevermore Forevermore It¡¯s just the funeral I¡¯ve been waiting for"
M,Damage Case,"Hey babe don't act so scared All I want is some special care On the run from some institution All I want is some constellation  And I can tell by his face I'm a total disgrace Put me inside this place Move over for a damage case  Hey baby wait a minute, stop Don't run away, don't call a cop I Ain't lookin' to victimize you All I want to do is tantalize you  I can tell by your face I'm all over this place I can tell by your face Got no time for a damage case  No time baby!  Hey babe don't turn away I'm here tomorrow, gone today I don't know what you think your game is I don't care if you want your name is  And I can tell by this face You're all over the place I can tell by his face Move over for a damage case Get the fuck over man!  All right"
M,"Damage, Inc.","Dealing out the agony within Charging hard and no one's gonna give in Living on your knees, conformity Or dying on your feet for honesty Inbred, our bodies work as one Bloody, but never cry submission Following our instinct not a trend Go against the grain until the end  Blood will follow blood Dying time is here Damage Incorporated  Slamming through, don't fuck with razorback Stepping out? You'll feel our hell on your back Blood follows blood and we make sure Life ain't for you and we're the cure Honesty is my only excuse Try to rob us of it, but it's no use Steamroller action crushing all Victim is your name and you shall fall  Blood will follow blood Dying time is here Damage Incorporated  We chew and spit you out We laugh, you scream and shout All flee, with fear you run You'll know just where we come from  Damage Incorporated Go  Damage jackals ripping right through you Sight and smell of this, it gets me goin' Know just how to get just what we want Tear it from your soul in nightly hunt Fuck it all and fucking no regrets Never happy ending on these dark sets All's fair for Damage Inc. you see Step a little closer if you please  Blood will follow blood Dying time is here Damage Incorporated"
M,The Day That Never Comes,"Born to push you around Better just stay down You pull away He hits the flesh You hit the ground  Mouth so full of lies Tend to black your eyes Just keep them closed Keep praying Just keep waiting  Waiting for the one The day that never comes When you stand up and feel the warmth But the sunshine never comes, no No, the sunshine never comes  Push you cross that line Just stay down this time Hide in yourself Crawl in yourself You'll have your time  God I'll make them pay Take it back one day I'll end this day I'll splatter color on this gray  Waiting for the one The day that never comes When you stand up and feel the warmth But the sunshine never comes  Love is a four letter word And never spoken here Love is a four letter word Here in this prison  I suffer this no longer I'll put an end to this, I swear This, I swear The sun will shine This, I swear This, I swear This, I swear!"
M,"Die, Die My Darling","Ah Yeah  Die, die, die my darling Don't utter a single word Die, die, die my darling Just shut your pretty eyes I'll be seeing you again Yeah, I'll be seeing you, in hell  So don't cry to me oh baby Your future's in an oblong box Don't cry to me oh baby You should have seen it a-coming on Don't cry to me oh baby Had to know it was in your card Don't cry to me oh baby Dead-end soul for a dead-end girl Don't cry to me oh baby And now your life drains on the floor Don't cry to me oh baby  Die, die, die my darling Don't utter a single word Die, die, die my darling Just shut your pretty mouth I'll be seeing you again, yeah-yeah I'll be seeing you, in hell  Don't cry to me oh baby Your future's in an oblong box Don't cry to me oh baby You should have seen it a-coming on Don't cry to me oh baby Had to know it was in your card Don't cry to me oh baby Dead-end soul for a dead-end girl Don't cry to me oh baby And now your life drains on the floor Don't cry to me oh baby  Die, die, die my darling Don't utter a single word Die, die, die my darling Shut your pretty mouth I'll be seeing you again I'll be seeing you, in hell Die-die-die Die-die-die Die-die-die  Die"
